,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
706,Orlando Magic*,60,22,0.732,—,104.5,99.0,5.4,1996
707,New York Knicks*,47,35,0.573,13.0,97.2,94.9,2.24,1996
708,Miami Heat*,42,40,0.512,18.0,96.5,95.0,1.46,1996
709,Washington Bullets,39,43,0.476,21.0,102.5,101.5,0.99,1996
710,Boston Celtics,33,49,0.402,27.0,103.6,107.0,-3.37,1996
711,New Jersey Nets,30,52,0.366,30.0,93.7,97.9,-4.14,1996
712,Philadelphia 76ers,18,64,0.22,42.0,94.5,104.5,-9.45,1996
713,Chicago Bulls*,72,10,0.878,—,105.2,92.9,11.8,1996
714,Indiana Pacers*,52,30,0.634,20.0,99.3,96.1,3.11,1996
715,Cleveland Cavaliers*,47,35,0.573,25.0,91.1,88.5,2.49,1996
716,Atlanta Hawks*,46,36,0.561,26.0,98.3,97.1,1.29,1996
717,Detroit Pistons*,46,36,0.561,26.0,95.4,92.9,2.45,1996
718,Charlotte Hornets,41,41,0.5,31.0,102.8,103.4,-0.48,1996
719,Milwaukee Bucks,25,57,0.305,47.0,95.6,100.9,-4.92,1996
720,Toronto Raptors,21,61,0.256,51.0,97.5,105.0,-7.2,1996
721,San Antonio Spurs*,59,23,0.72,—,103.4,97.1,5.98,1996
722,Utah Jazz*,55,27,0.671,4.0,102.5,95.9,6.25,1996
723,Houston Rockets*,48,34,0.585,11.0,102.5,100.7,1.63,1996
724,Denver Nuggets,35,47,0.427,24.0,97.7,100.4,-2.62,1996
725,Minnesota Timberwolves,26,56,0.317,33.0,97.9,103.2,-5.14,1996
726,Dallas Mavericks,26,56,0.317,33.0,102.5,107.5,-4.71,1996
727,Vancouver Grizzlies,15,67,0.183,44.0,89.8,99.8,-9.55,1996
728,Seattle SuperSonics*,64,18,0.78,—,104.5,96.7,7.4,1996
729,Los Angeles Lakers*,53,29,0.646,11.0,102.9,98.5,4.21,1996
730,Portland Trail Blazers*,44,38,0.537,20.0,99.3,97.0,2.21,1996
731,Phoenix Suns*,41,41,0.5,23.0,104.3,104.0,0.28,1996
732,Sacramento Kings*,39,43,0.476,25.0,99.5,102.3,-2.62,1996
733,Golden State Warriors,36,46,0.439,28.0,101.6,103.1,-1.42,1996
734,Los Angeles Clippers,29,53,0.354,35.0,99.4,103.0,-3.46,1996
735,Miami Heat*,61,21,0.744,—,94.8,89.3,5.56,1997
736,New York Knicks*,57,25,0.695,4.0,95.4,92.2,3.31,1997
737,Orlando Magic*,45,37,0.549,16.0,94.1,94.5,-0.07,1997
738,Washington Bullets*,44,38,0.537,17.0,99.4,97.7,1.77,1997
739,New Jersey Nets,26,56,0.317,35.0,97.2,101.8,-3.89,1997
740,Philadelphia 76ers,22,60,0.268,39.0,100.2,106.7,-5.89,1997
741,Boston Celtics,15,67,0.183,46.0,100.6,107.9,-6.62,1997
742,Chicago Bulls*,69,13,0.841,—,103.1,92.3,10.7,1997
743,Atlanta Hawks*,56,26,0.683,13.0,94.8,89.4,5.52,1997
744,Detroit Pistons*,54,28,0.659,15.0,94.2,88.9,5.45,1997
745,Charlotte Hornets*,54,28,0.659,15.0,98.9,97.0,2.13,1997
746,Cleveland Cavaliers,42,40,0.512,27.0,87.5,85.6,2.32,1997
747,Indiana Pacers,39,43,0.476,30.0,95.4,94.4,1.49,1997
748,Milwaukee Bucks,33,49,0.402,36.0,95.3,97.2,-1.38,1997
749,Toronto Raptors,30,52,0.366,39.0,95.5,98.6,-2.56,1997
750,Utah Jazz*,64,18,0.78,—,103.1,94.3,7.97,1997
751,Houston Rockets*,57,25,0.695,7.0,100.6,96.1,3.85,1997
752,Minnesota Timberwolves*,40,42,0.488,24.0,96.1,97.6,-1.82,1997
753,Dallas Mavericks,24,58,0.293,40.0,90.6,97.0,-6.47,1997
754,Denver Nuggets,21,61,0.256,43.0,97.8,104.1,-6.4,1997
755,San Antonio Spurs,20,62,0.244,44.0,90.5,98.3,-7.93,1997
756,Vancouver Grizzlies,14,68,0.171,50.0,89.2,99.4,-10.17,1997
757,Seattle SuperSonics*,57,25,0.695,—,100.9,93.2,6.91,1997
758,Los Angeles Lakers*,56,26,0.683,1.0,100.0,95.7,3.66,1997
759,Portland Trail Blazers*,49,33,0.598,8.0,99.0,94.8,3.56,1997
760,Phoenix Suns*,40,42,0.488,17.0,102.8,102.2,0.21,1997
761,Los Angeles Clippers*,36,46,0.439,21.0,97.2,99.5,-2.66,1997
762,Sacramento Kings,34,48,0.415,23.0,96.4,99.8,-3.64,1997
763,Golden State Warriors,30,52,0.366,27.0,99.6,104.4,-4.9,1997
764,Miami Heat*,55,27,0.671,—,95.0,90.0,5.09,1998
765,New York Knicks*,43,39,0.524,12.0,91.6,89.1,2.74,1998
766,New Jersey Nets*,43,39,0.524,12.0,99.6,98.1,1.88,1998
767,Washington Wizards,42,40,0.512,13.0,97.2,96.6,1.11,1998
768,Orlando Magic,41,41,0.5,14.0,90.1,91.2,-0.53,1998
769,Boston Celtics,36,46,0.439,19.0,95.9,98.5,-1.96,1998
770,Philadelphia 76ers,31,51,0.378,24.0,93.3,95.7,-1.89,1998
771,Chicago Bulls*,62,20,0.756,—,96.7,89.6,7.24,1998
772,Indiana Pacers*,58,24,0.707,4.0,96.0,89.9,6.25,1998
773,Charlotte Hornets*,51,31,0.622,11.0,96.6,94.6,2.45,1998
774,Atlanta Hawks*,50,32,0.61,12.0,95.9,92.3,3.85,1998
775,Cleveland Cavaliers*,47,35,0.573,15.0,92.5,89.8,3.06,1998
776,Detroit Pistons,37,45,0.451,25.0,94.2,92.6,1.95,1998
777,Milwaukee Bucks,36,46,0.439,26.0,94.5,96.4,-1.33,1998
778,Toronto Raptors,16,66,0.195,46.0,94.9,104.2,-8.33,1998
779,Utah Jazz*,62,20,0.756,—,101.0,94.4,5.73,1998
780,San Antonio Spurs*,56,26,0.683,6.0,92.5,88.5,3.3,1998
781,Minnesota Timberwolves*,45,37,0.549,17.0,101.1,100.4,0.17,1998
782,Houston Rockets*,41,41,0.5,21.0,98.8,99.5,-1.23,1998
783,Dallas Mavericks,20,62,0.244,42.0,91.4,97.5,-6.33,1998
784,Vancouver Grizzlies,19,63,0.232,43.0,96.6,103.9,-7.47,1998
785,Denver Nuggets,11,71,0.134,51.0,89.0,100.8,-11.74,1998
786,Seattle SuperSonics*,61,21,0.744,—,100.6,93.4,6.33,1998
787,Los Angeles Lakers*,61,21,0.744,—,105.5,97.8,6.88,1998
788,Phoenix Suns*,56,26,0.683,5.0,99.6,94.4,4.44,1998
789,Portland Trail Blazers*,46,36,0.561,15.0,94.3,92.9,0.83,1998
790,Sacramento Kings,27,55,0.329,34.0,93.1,98.7,-5.83,1998
791,Golden State Warriors,19,63,0.232,42.0,88.3,97.4,-9.2,1998
792,Los Angeles Clippers,17,65,0.207,44.0,95.9,103.3,-7.53,1998
793,Miami Heat*,33,17,0.66,—,89.0,84.0,5.11,1999
794,Orlando Magic*,33,17,0.66,—,89.5,86.9,3.11,1999
795,Philadelphia 76ers*,28,22,0.56,5.0,89.7,87.6,2.56,1999
796,New York Knicks*,27,23,0.54,6.0,86.4,85.4,1.45,1999
797,Boston Celtics,19,31,0.38,14.0,93.0,94.9,-1.75,1999
798,Washington Wizards,18,32,0.36,15.0,91.2,93.4,-1.75,1999
799,New Jersey Nets,16,34,0.32,17.0,91.4,95.2,-3.2,1999
800,Indiana Pacers*,33,17,0.66,—,94.7,90.9,3.86,1999
801,Atlanta Hawks*,31,19,0.62,2.0,86.3,83.4,2.82,1999
802,Detroit Pistons*,29,21,0.58,4.0,90.4,86.9,3.97,1999
803,Milwaukee Bucks*,28,22,0.56,5.0,91.7,90.0,1.66,1999
804,Charlotte Hornets,26,24,0.52,7.0,92.9,93.0,0.63,1999
805,Toronto Raptors,23,27,0.46,10.0,91.1,92.8,-1.32,1999
806,Cleveland Cavaliers,22,28,0.44,11.0,86.4,88.2,-0.94,1999
807,Chicago Bulls,13,37,0.26,20.0,81.9,91.4,-8.58,1999
808,San Antonio Spurs*,37,13,0.74,—,92.8,84.7,7.12,1999
809,Utah Jazz*,37,13,0.74,—,93.3,86.8,5.54,1999
810,Houston Rockets*,31,19,0.62,6.0,94.2,91.9,1.39,1999
811,Minnesota Timberwolves*,25,25,0.5,12.0,92.9,92.6,-0.17,1999
812,Dallas Mavericks,19,31,0.38,18.0,91.6,94.0,-2.5,1999
813,Denver Nuggets,14,36,0.28,23.0,93.5,100.1,-6.67,1999
814,Vancouver Grizzlies,8,42,0.16,29.0,88.9,97.5,-8.94,1999
815,Portland Trail Blazers*,35,15,0.7,—,94.8,88.5,5.67,1999
816,Los Angeles Lakers*,31,19,0.62,4.0,99.0,96.0,2.68,1999
817,Phoenix Suns*,27,23,0.54,8.0,95.6,93.3,2.15,1999
818,Sacramento Kings*,27,23,0.54,8.0,100.2,100.6,-0.89,1999
819,Seattle SuperSonics,25,25,0.5,10.0,94.9,95.9,-1.43,1999
820,Golden State Warriors,21,29,0.42,14.0,88.3,90.8,-2.63,1999
821,Los Angeles Clippers,9,41,0.18,26.0,90.4,99.2,-8.94,1999
822,Miami Heat*,52,30,0.634,—,94.4,91.3,2.75,2000
823,New York Knicks*,50,32,0.61,2.0,92.1,90.7,1.3,2000
824,Philadelphia 76ers*,49,33,0.598,3.0,94.8,93.4,1.02,2000
825,Orlando Magic,41,41,0.5,11.0,100.1,99.4,0.43,2000
826,Boston Celtics,35,47,0.427,17.0,99.3,100.1,-1.0,2000
827,New Jersey Nets,31,51,0.378,21.0,98.0,99.0,-1.18,2000
828,Washington Wizards,29,53,0.354,23.0,96.6,99.9,-3.47,2000
829,Indiana Pacers*,56,26,0.683,—,101.3,96.7,4.15,2000
830,Charlotte Hornets*,49,33,0.598,7.0,98.4,95.8,2.33,2000
831,Toronto Raptors*,45,37,0.549,11.0,97.2,97.3,-0.46,2000
832,Detroit Pistons*,42,40,0.512,14.0,103.5,102.0,1.13,2000
833,Milwaukee Bucks*,42,40,0.512,14.0,101.2,101.0,-0.06,2000
834,Cleveland Cavaliers,32,50,0.39,24.0,97.0,100.5,-3.64,2000
835,Atlanta Hawks,28,54,0.341,28.0,94.3,99.7,-5.41,2000
836,Chicago Bulls,17,65,0.207,39.0,84.8,94.2,-9.23,2000
837,Utah Jazz*,55,27,0.671,—,96.5,92.0,4.52,2000
838,San Antonio Spurs*,53,29,0.646,2.0,96.2,90.2,5.92,2000
839,Minnesota Timberwolves*,50,32,0.61,5.0,98.5,96.0,2.67,2000
840,Dallas Mavericks,40,42,0.488,15.0,101.4,102.0,-0.29,2000
841,Denver Nuggets,35,47,0.427,20.0,99.0,101.1,-1.76,2000
842,Houston Rockets,34,48,0.415,21.0,99.5,100.3,-0.57,2000
843,Vancouver Grizzlies,22,60,0.268,33.0,93.9,99.5,-5.1,2000
844,Los Angeles Lakers*,67,15,0.817,—,100.8,92.3,8.41,2000
845,Portland Trail Blazers*,59,23,0.72,8.0,97.5,91.0,6.36,2000
846,Phoenix Suns*,53,29,0.646,14.0,98.9,93.7,5.24,2000
847,Seattle SuperSonics*,45,37,0.549,22.0,99.1,98.1,1.17,2000
848,Sacramento Kings*,44,38,0.537,23.0,105.0,102.0,3.04,2000
849,Golden State Warriors,19,63,0.232,48.0,95.5,103.8,-7.63,2000
850,Los Angeles Clippers,15,67,0.183,52.0,92.0,103.5,-10.73,2000
851,Philadelphia 76ers*,56,26,0.683,—,94.7,90.4,3.64,2001
852,Miami Heat*,50,32,0.61,6.0,88.9,86.6,1.73,2001
853,New York Knicks*,48,34,0.585,8.0,88.7,86.1,1.98,2001
854,Orlando Magic*,43,39,0.524,13.0,97.5,96.5,0.39,2001
855,Boston Celtics,36,46,0.439,20.0,94.6,96.8,-2.4,2001
856,New Jersey Nets,26,56,0.317,30.0,92.1,97.1,-5.3,2001
857,Washington Wizards,19,63,0.232,37.0,93.2,99.9,-6.75,2001
858,Milwaukee Bucks*,52,30,0.634,—,100.7,96.9,3.14,2001
859,Toronto Raptors*,47,35,0.573,5.0,97.6,95.4,1.69,2001
860,Charlotte Hornets*,46,36,0.561,6.0,91.9,89.8,1.45,2001
861,Indiana Pacers*,41,41,0.5,11.0,92.6,92.8,-0.77,2001
862,Detroit Pistons,32,50,0.39,20.0,95.6,97.3,-2.08,2001
863,Cleveland Cavaliers,30,52,0.366,22.0,92.2,96.5,-4.48,2001
864,Atlanta Hawks,25,57,0.305,27.0,91.0,96.2,-5.55,2001
865,Chicago Bulls,15,67,0.183,37.0,87.6,96.7,-9.09,2001
866,San Antonio Spurs*,58,24,0.707,—,96.2,88.4,7.92,2001
867,Utah Jazz*,53,29,0.646,5.0,97.1,92.4,5.0,2001
868,Dallas Mavericks*,53,29,0.646,5.0,100.5,96.2,4.61,2001
869,Minnesota Timberwolves*,47,35,0.573,11.0,97.3,96.0,1.81,2001
870,Houston Rockets,45,37,0.549,13.0,97.2,94.9,2.71,2001
871,Denver Nuggets,40,42,0.488,18.0,96.6,99.0,-1.83,2001
872,Vancouver Grizzlies,23,59,0.28,35.0,91.7,97.5,-4.94,2001
873,Los Angeles Lakers*,56,26,0.683,—,100.6,97.2,3.74,2001
874,Sacramento Kings*,55,27,0.671,1.0,101.7,95.9,6.07,2001
875,Phoenix Suns*,51,31,0.622,5.0,94.0,91.8,2.63,2001
876,Portland Trail Blazers*,50,32,0.61,6.0,95.4,91.2,4.52,2001
877,Seattle SuperSonics,44,38,0.537,12.0,97.3,97.3,0.55,2001
878,Los Angeles Clippers,31,51,0.378,25.0,92.5,95.3,-2.23,2001
879,Golden State Warriors,17,65,0.207,39.0,92.5,101.5,-8.11,2001
880,New Jersey Nets*,52,30,0.634,—,96.2,92.0,3.67,2002
881,Boston Celtics*,49,33,0.598,3.0,96.4,94.1,1.75,2002
882,Orlando Magic*,44,38,0.537,8.0,100.5,98.9,1.25,2002
883,Philadelphia 76ers*,43,39,0.524,9.0,91.0,89.4,1.27,2002
884,Washington Wizards,37,45,0.451,15.0,92.8,94.2,-1.58,2002
885,Miami Heat,36,46,0.439,16.0,87.2,88.7,-1.84,2002
886,New York Knicks,30,52,0.366,22.0,91.6,95.6,-4.15,2002
887,Detroit Pistons*,50,32,0.61,—,94.3,92.2,1.69,2002
888,Charlotte Hornets*,44,38,0.537,6.0,93.9,92.9,0.57,2002
889,Toronto Raptors*,42,40,0.512,8.0,91.4,91.8,-0.71,2002
890,Indiana Pacers*,42,40,0.512,8.0,96.8,96.5,-0.07,2002
891,Milwaukee Bucks,41,41,0.5,9.0,97.5,97.7,-0.62,2002
892,Atlanta Hawks,33,49,0.402,17.0,94.0,98.3,-4.41,2002
893,Cleveland Cavaliers,29,53,0.354,21.0,95.3,98.6,-3.52,2002
894,Chicago Bulls,21,61,0.256,29.0,89.5,98.0,-8.52,2002
895,San Antonio Spurs*,58,24,0.707,—,96.7,90.5,6.28,2002
896,Dallas Mavericks*,57,25,0.695,1.0,105.2,101.0,4.41,2002
897,Minnesota Timberwolves*,50,32,0.61,8.0,99.3,96.0,3.58,2002
898,Utah Jazz*,44,38,0.537,14.0,96.0,95.1,1.21,2002
899,Houston Rockets,28,54,0.341,30.0,92.3,97.2,-4.31,2002
900,Denver Nuggets,27,55,0.329,31.0,92.2,98.0,-5.19,2002
901,Memphis Grizzlies,23,59,0.28,35.0,89.9,97.3,-6.74,2002
902,Sacramento Kings*,61,21,0.744,—,104.6,97.0,7.61,2002
903,Los Angeles Lakers*,58,24,0.707,3.0,101.3,94.1,7.15,2002
904,Portland Trail Blazers*,49,33,0.598,12.0,96.6,93.7,3.21,2002
905,Seattle SuperSonics*,45,37,0.549,16.0,97.7,94.7,3.24,2002
906,Los Angeles Clippers,39,43,0.476,22.0,95.7,96.1,-0.09,2002
907,Phoenix Suns,36,46,0.439,25.0,95.1,95.8,-0.3,2002
908,Golden State Warriors,21,61,0.256,40.0,97.7,103.1,-4.8,2002
909,New Jersey Nets*,49,33,0.598,—,95.4,90.1,4.42,2003
910,Philadelphia 76ers*,48,34,0.585,1.0,96.8,94.5,1.76,2003
911,Boston Celtics*,44,38,0.537,5.0,92.7,93.1,-0.75,2003
912,Orlando Magic*,42,40,0.512,7.0,98.5,98.4,-0.39,2003
913,Washington Wizards,37,45,0.451,12.0,91.5,92.5,-1.47,2003
914,New York Knicks,37,45,0.451,12.0,95.9,97.2,-1.61,2003
915,Miami Heat,25,57,0.305,24.0,85.6,90.6,-5.13,2003
916,Detroit Pistons*,50,32,0.61,—,91.4,87.7,2.97,2003
917,Indiana Pacers*,48,34,0.585,2.0,96.8,93.3,2.79,2003
918,New Orleans Hornets*,47,35,0.573,3.0,93.9,91.8,1.52,2003
919,Milwaukee Bucks*,42,40,0.512,8.0,99.5,99.3,-0.24,2003
920,Atlanta Hawks,35,47,0.427,15.0,94.1,97.6,-3.87,2003
921,Chicago Bulls,30,52,0.366,20.0,95.0,100.1,-5.31,2003
922,Toronto Raptors,24,58,0.293,26.0,90.9,96.8,-6.1,2003
923,Cleveland Cavaliers,17,65,0.207,33.0,91.4,101.0,-9.59,2003
924,San Antonio Spurs*,60,22,0.732,—,95.8,90.4,5.65,2003
925,Dallas Mavericks*,60,22,0.732,—,103.0,95.2,7.9,2003
926,Minnesota Timberwolves*,51,31,0.622,9.0,98.1,96.0,2.46,2003
927,Utah Jazz*,47,35,0.573,13.0,94.7,92.3,2.76,2003
928,Houston Rockets,43,39,0.524,17.0,93.8,92.3,1.89,2003
929,Memphis Grizzlies,28,54,0.341,32.0,97.5,100.7,-2.6,2003
930,Denver Nuggets,17,65,0.207,43.0,84.2,92.4,-7.41,2003
931,Sacramento Kings*,59,23,0.72,—,101.7,95.2,6.68,2003
932,Los Angeles Lakers*,50,32,0.61,9.0,100.4,98.0,2.71,2003
933,Portland Trail Blazers*,50,32,0.61,9.0,95.2,92.5,2.97,2003
934,Phoenix Suns*,44,38,0.537,15.0,95.5,94.4,1.57,2003
935,Seattle SuperSonics,40,42,0.488,19.0,92.1,92.3,0.37,2003
936,Golden State Warriors,38,44,0.463,21.0,102.4,103.6,-0.6,2003
937,Los Angeles Clippers,27,55,0.329,32.0,93.8,97.9,-3.45,2003
938,New Jersey Nets*,47,35,0.573,—,90.3,87.8,1.88,2004
939,Miami Heat*,42,40,0.512,5.0,90.3,89.7,-0.13,2004
940,New York Knicks*,39,43,0.476,8.0,92.0,93.5,-1.97,2004
941,Boston Celtics*,36,46,0.439,11.0,95.3,96.7,-1.99,2004
942,Philadelphia 76ers,33,49,0.402,14.0,88.0,90.5,-2.95,2004
943,Washington Wizards,25,57,0.305,22.0,91.8,97.4,-6.12,2004
944,Orlando Magic,21,61,0.256,26.0,94.0,101.1,-7.25,2004
945,Indiana Pacers*,61,21,0.744,—,91.4,85.6,4.93,2004
946,Detroit Pistons*,54,28,0.659,7.0,90.1,84.3,5.04,2004
947,New Orleans Hornets*,41,41,0.5,20.0,91.8,91.9,-0.72,2004
948,Milwaukee Bucks*,41,41,0.5,20.0,98.0,97.0,0.42,2004
949,Cleveland Cavaliers,35,47,0.427,26.0,92.9,95.5,-3.07,2004
950,Toronto Raptors,33,49,0.402,28.0,85.4,88.5,-3.42,2004
951,Atlanta Hawks,28,54,0.341,33.0,92.8,97.5,-5.0,2004
952,Chicago Bulls,23,59,0.28,38.0,89.7,96.0,-6.69,2004
953,Minnesota Timberwolves*,58,24,0.707,—,94.5,89.1,5.86,2004
954,San Antonio Spurs*,57,25,0.695,1.0,91.5,84.3,7.51,2004
955,Dallas Mavericks*,52,30,0.634,6.0,105.2,100.8,4.86,2004
956,Memphis Grizzlies*,50,32,0.61,8.0,96.7,94.3,2.95,2004
957,Houston Rockets*,45,37,0.549,13.0,89.8,88.0,2.28,2004
958,Denver Nuggets*,43,39,0.524,15.0,97.2,96.1,1.65,2004
959,Utah Jazz,42,40,0.512,16.0,88.7,89.9,-0.53,2004
960,Los Angeles Lakers*,56,26,0.683,—,98.2,94.3,4.35,2004
961,Sacramento Kings*,55,27,0.671,1.0,102.8,97.8,5.41,2004
962,Portland Trail Blazers,41,41,0.5,15.0,90.7,92.0,-0.58,2004
963,Golden State Warriors,37,45,0.451,19.0,93.3,94.0,-0.07,2004
964,Seattle SuperSonics,37,45,0.451,19.0,97.1,97.8,0.02,2004
965,Phoenix Suns,29,53,0.354,27.0,94.2,97.9,-2.94,2004
966,Los Angeles Clippers,28,54,0.341,28.0,94.8,99.4,-3.74,2004
967,Boston Celtics*,45,37,0.549,—,101.3,100.4,0.35,2005
968,Philadelphia 76ers*,43,39,0.524,2.0,99.1,99.9,-1.07,2005
969,New Jersey Nets*,42,40,0.512,3.0,91.4,92.9,-1.82,2005
970,Toronto Raptors,33,49,0.402,12.0,99.7,101.4,-1.81,2005
971,New York Knicks,33,49,0.402,12.0,97.3,99.7,-2.72,2005
972,Detroit Pistons*,54,28,0.659,—,93.3,89.5,3.31,2005
973,Chicago Bulls*,47,35,0.573,7.0,94.5,93.4,0.65,2005
974,Indiana Pacers*,44,38,0.537,10.0,93.0,92.2,0.49,2005
975,Cleveland Cavaliers,42,40,0.512,12.0,96.5,95.7,0.27,2005
976,Milwaukee Bucks,30,52,0.366,24.0,97.2,100.2,-3.09,2005
977,Miami Heat*,59,23,0.72,—,101.5,95.0,5.77,2005
978,Washington Wizards*,45,37,0.549,14.0,100.5,100.8,-0.71,2005
979,Orlando Magic,36,46,0.439,23.0,99.5,101.8,-2.52,2005
980,Charlotte Bobcats,18,64,0.22,41.0,94.3,100.2,-6.15,2005
981,Atlanta Hawks,13,69,0.159,46.0,92.7,102.5,-9.62,2005
982,Seattle SuperSonics*,52,30,0.634,—,98.9,96.6,2.59,2005
983,Denver Nuggets*,49,33,0.598,3.0,99.5,97.5,2.23,2005
984,Minnesota Timberwolves,44,38,0.537,8.0,96.8,95.3,1.73,2005
985,Portland Trail Blazers,27,55,0.329,25.0,92.9,96.9,-3.45,2005
986,Utah Jazz,26,56,0.317,26.0,93.0,97.3,-3.74,2005
987,Phoenix Suns*,62,20,0.756,—,110.4,103.3,7.08,2005
988,Sacramento Kings*,50,32,0.61,12.0,103.7,101.6,2.56,2005
989,Los Angeles Clippers,37,45,0.451,25.0,95.7,96.5,-0.47,2005
990,Los Angeles Lakers,34,48,0.415,28.0,98.7,101.7,-2.32,2005
991,Golden State Warriors,34,48,0.415,28.0,98.7,100.9,-1.74,2005
992,San Antonio Spurs*,59,23,0.72,—,96.2,88.4,7.84,2005
993,Dallas Mavericks*,58,24,0.707,1.0,102.5,96.8,5.86,2005
994,Houston Rockets*,51,31,0.622,8.0,95.1,91.0,4.27,2005
995,Memphis Grizzlies*,45,37,0.549,14.0,93.4,91.1,2.64,2005
996,New Orleans Hornets,18,64,0.22,41.0,88.4,95.5,-6.3,2005
997,New Jersey Nets*,49,33,0.598,—,93.8,92.4,1.11,2006
998,Philadelphia 76ers,38,44,0.463,11.0,99.4,101.3,-2.1,2006
999,Boston Celtics,33,49,0.402,16.0,98.0,99.5,-1.59,2006
1000,Toronto Raptors,27,55,0.329,22.0,101.1,104.0,-3.03,2006
1001,New York Knicks,23,59,0.28,26.0,95.6,102.0,-6.3,2006
1002,Detroit Pistons*,64,18,0.78,—,96.8,90.2,6.24,2006
1003,Cleveland Cavaliers*,50,32,0.61,14.0,97.6,95.4,2.17,2006
1004,Indiana Pacers*,41,41,0.5,23.0,93.9,92.0,1.62,2006
1005,Chicago Bulls*,41,41,0.5,23.0,97.8,97.2,0.51,2006
1006,Milwaukee Bucks*,40,42,0.488,24.0,97.8,98.8,-1.07,2006
1007,Miami Heat*,52,30,0.634,—,99.9,96.0,3.59,2006
1008,Washington Wizards*,42,40,0.512,10.0,101.7,99.8,1.57,2006
1009,Orlando Magic,36,46,0.439,16.0,94.9,96.0,-1.26,2006
1010,Charlotte Bobcats,26,56,0.317,26.0,96.9,100.9,-3.9,2006
1011,Atlanta Hawks,26,56,0.317,26.0,97.2,102.0,-4.69,2006
1012,Denver Nuggets*,44,38,0.537,—,100.3,100.1,0.36,2006
1013,Utah Jazz,41,41,0.5,3.0,92.4,95.0,-2.49,2006
1014,Seattle SuperSonics,35,47,0.427,9.0,102.6,105.6,-2.88,2006
1015,Minnesota Timberwolves,33,49,0.402,11.0,91.7,93.6,-1.75,2006
1016,Portland Trail Blazers,21,61,0.256,23.0,88.8,98.3,-8.91,2006
1017,Phoenix Suns*,54,28,0.659,—,108.4,102.8,5.48,2006
1018,Los Angeles Clippers*,47,35,0.573,7.0,97.2,95.6,1.75,2006
1019,Los Angeles Lakers*,45,37,0.549,9.0,99.4,96.9,2.53,2006
1020,Sacramento Kings*,44,38,0.537,10.0,98.9,97.3,1.61,2006
1021,Golden State Warriors,34,48,0.415,20.0,98.5,99.8,-1.11,2006
1022,San Antonio Spurs*,63,19,0.768,—,95.6,88.8,6.69,2006
1023,Dallas Mavericks*,60,22,0.732,3.0,99.1,93.1,5.96,2006
1024,Memphis Grizzlies*,49,33,0.598,14.0,92.2,88.5,3.74,2006
1025,New Orleans/Oklahoma City Hornets,38,44,0.463,25.0,92.8,95.6,-2.51,2006
1026,Houston Rockets,34,48,0.415,29.0,90.1,91.7,-1.3,2006
1027,Toronto Raptors*,47,35,0.573,—,99.5,98.5,0.61,2007
1028,New Jersey Nets*,41,41,0.5,6.0,97.6,98.3,-1.0,2007
1029,Philadelphia 76ers,35,47,0.427,12.0,94.9,98.0,-3.26,2007
1030,New York Knicks,33,49,0.402,14.0,97.5,100.3,-3.06,2007
1031,Boston Celtics,24,58,0.293,23.0,95.8,99.2,-3.7,2007
1032,Detroit Pistons*,53,29,0.646,—,96.0,91.8,3.69,2007
1033,Cleveland Cavaliers*,50,32,0.61,3.0,96.8,92.9,3.33,2007
1034,Chicago Bulls*,49,33,0.598,4.0,98.8,93.8,4.52,2007
1035,Indiana Pacers,35,47,0.427,18.0,95.6,98.0,-2.62,2007
1036,Milwaukee Bucks,28,54,0.341,25.0,99.7,104.0,-4.43,2007
1037,Miami Heat*,44,38,0.537,—,94.6,95.5,-1.21,2007
1038,Washington Wizards*,41,41,0.5,3.0,104.3,104.9,-0.8,2007
1039,Orlando Magic*,40,42,0.488,4.0,94.8,94.0,0.35,2007
1040,Charlotte Bobcats,33,49,0.402,11.0,96.9,100.6,-3.97,2007
1041,Atlanta Hawks,30,52,0.366,14.0,93.7,98.4,-4.86,2007
1042,Utah Jazz*,51,31,0.622,—,101.5,98.6,3.06,2007
1043,Denver Nuggets*,45,37,0.549,6.0,105.4,103.7,1.69,2007
1044,Portland Trail Blazers,32,50,0.39,19.0,94.1,98.4,-3.78,2007
1045,Minnesota Timberwolves,32,50,0.39,19.0,96.1,99.7,-3.16,2007
1046,Seattle SuperSonics,31,51,0.378,20.0,99.1,102.0,-2.45,2007
1047,Phoenix Suns*,61,21,0.744,—,110.2,102.9,7.28,2007
1048,Los Angeles Lakers*,42,40,0.512,19.0,103.3,103.4,0.24,2007
1049,Golden State Warriors*,42,40,0.512,19.0,106.5,106.9,0.0,2007
1050,Los Angeles Clippers,40,42,0.488,21.0,95.6,96.1,-0.07,2007
1051,Sacramento Kings,33,49,0.402,28.0,101.3,103.1,-1.35,2007
1052,Dallas Mavericks*,67,15,0.817,—,100.0,92.8,7.28,2007
1053,San Antonio Spurs*,58,24,0.707,9.0,98.5,90.1,8.35,2007
1054,Houston Rockets*,52,30,0.634,15.0,97.0,92.1,5.04,2007
1055,New Orleans/Oklahoma City Hornets,39,43,0.476,28.0,95.5,97.1,-1.19,2007
1056,Memphis Grizzlies,22,60,0.268,45.0,101.6,106.7,-4.44,2007
1057,Boston Celtics*,66,16,0.805,—,100.5,90.3,9.3,2008
1058,Toronto Raptors*,41,41,0.5,25.0,100.2,97.3,2.47,2008
