,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
124,San Francisco Warriors*,41,41,0.5,14.0,109.1,110.7,-1.53,1969
125,San Diego Rockets*,37,45,0.451,18.0,115.3,115.5,-0.3,1969
126,Chicago Bulls,33,49,0.402,22.0,104.7,107.0,-2.11,1969
127,Seattle SuperSonics,30,52,0.366,25.0,112.1,116.9,-4.68,1969
128,Phoenix Suns,16,66,0.195,39.0,111.7,120.5,-8.26,1969
129,New York Knicks*,60,22,0.732,—,115.0,105.9,8.42,1970
130,Milwaukee Bucks*,56,26,0.683,4.0,118.8,114.2,4.25,1970
131,Baltimore Bullets*,50,32,0.61,10.0,120.7,118.6,1.94,1970
132,Philadelphia 76ers*,42,40,0.512,18.0,121.9,118.5,3.32,1970
133,Cincinnati Royals,36,46,0.439,24.0,117.3,120.2,-2.55,1970
134,Boston Celtics,34,48,0.415,26.0,114.9,116.8,-1.6,1970
135,Detroit Pistons,31,51,0.378,29.0,112.8,116.1,-2.94,1970
136,Atlanta Hawks*,48,34,0.585,—,117.6,117.2,0.31,1970
137,Los Angeles Lakers*,46,36,0.561,2.0,113.7,111.8,1.76,1970
138,Chicago Bulls*,39,43,0.476,9.0,114.9,116.7,-1.71,1970
139,Phoenix Suns*,39,43,0.476,9.0,119.3,121.1,-1.66,1970
140,Seattle SuperSonics,36,46,0.439,12.0,116.9,119.5,-2.43,1970
141,San Francisco Warriors,30,52,0.366,18.0,111.1,115.6,-4.15,1970
142,San Diego Rockets,27,55,0.329,21.0,118.7,121.8,-2.95,1970
143,New York Knicks*,52,30,0.634,—,110.1,105.0,5.05,1971
144,Philadelphia 76ers*,47,35,0.573,5.0,114.8,113.3,1.81,1971
145,Boston Celtics,44,38,0.537,8.0,117.2,115.1,2.3,1971
146,Buffalo Braves,22,60,0.268,30.0,105.5,112.1,-8.02,1971
147,Baltimore Bullets*,42,40,0.512,—,112.9,112.3,0.91,1971
148,Atlanta Hawks*,36,46,0.439,6.0,114.0,115.8,-1.3,1971
149,Cincinnati Royals,33,49,0.402,9.0,116.0,119.2,-2.96,1971
150,Cleveland Cavaliers,15,67,0.183,27.0,102.1,113.3,-12.04,1971
151,Milwaukee Bucks*,66,16,0.805,—,118.4,106.2,11.92,1971
152,Chicago Bulls*,51,31,0.622,15.0,110.6,105.4,5.47,1971
153,Phoenix Suns,48,34,0.585,18.0,113.8,111.9,2.33,1971
154,Detroit Pistons,45,37,0.549,21.0,110.1,110.9,-0.33,1971
155,Los Angeles Lakers*,48,34,0.585,—,114.8,111.7,3.27,1971
156,San Francisco Warriors*,41,41,0.5,7.0,107.1,108.5,-0.83,1971
157,San Diego Rockets,40,42,0.488,8.0,113.2,113.4,0.21,1971
158,Seattle SuperSonics,38,44,0.463,10.0,115.0,117.0,-1.53,1971
159,Portland Trail Blazers,29,53,0.354,19.0,115.5,120.0,-6.2,1971
160,Boston Celtics*,56,26,0.683,—,115.6,110.8,4.38,1972
161,New York Knicks*,48,34,0.585,8.0,107.1,104.7,2.28,1972
162,Philadelphia 76ers,30,52,0.366,26.0,112.2,115.9,-3.44,1972
163,Buffalo Braves,22,60,0.268,34.0,102.0,111.3,-9.44,1972
164,Baltimore Bullets*,38,44,0.463,—,107.1,108.3,-1.26,1972
165,Atlanta Hawks*,36,46,0.439,2.0,109.5,111.3,-1.94,1972
166,Cincinnati Royals,30,52,0.366,8.0,107.8,111.8,-4.13,1972
167,Cleveland Cavaliers,23,59,0.28,15.0,105.8,113.4,-7.9,1972
168,Milwaukee Bucks*,63,19,0.768,—,114.6,103.5,10.7,1972
